,County,Station,YYYYMMDD,ToM,Daily Average,Validity,Date,Year,Month,Day,Day Number,Decimal Year
0,Βοιωτία,ALI,20110101,00:00,41,1,2011-01-01,2011,1,1,1,2011.0013698630137
1,Βοιωτία,ALI,20110102,00:00,45,1,2011-01-02,2011,1,2,2,2011.004109589041
2,Βοιωτία,ALI,20110103,00:00,26,1,2011-01-03,2011,1,3,3,2011.0068493150684
3,Βοιωτία,ALI,20110104,00:00,23,1,2011-01-04,2011,1,4,4,2011.009589041096
4,Βοιωτία,ALI,20110105,00:00,29,1,2011-01-05,2011,1,5,5,2011.0123287671233
5,Βοιωτία,ALI,20110106,00:00,30,1,2011-01-06,2011,1,6,6,2011.0150684931507
21,Βοιωτία,ALI,20110122,00:00,26,1,2011-01-22,2011,1,22,22,2011.058904109589
22,Βοιωτία,ALI,20110123,00:00,16,1,2011-01-23,2011,1,23,23,2011.0616438356165
23,Βοιωτία,ALI,20110124,00:00,16,1,2011-01-24,2011,1,24,24,2011.0643835616438
24,Βοιωτία,ALI,20110125,00:00,18,1,2011-01-25,2011,1,25,25,2011.0671232876712
25,Βοιωτία,ALI,20110126,00:00,32,1,2011-01-26,2011,1,26,26,2011.0698630136985
26,Βοιωτία,ALI,20110127,00:00,32,1,2011-01-27,2011,1,27,27,2011.072602739726
27,Βοιωτία,ALI,20110128,00:00,13,1,2011-01-28,2011,1,28,28,2011.0753424657535
28,Βοιωτία,ALI,20110129,00:00,13,1,2011-01-29,2011,1,29,29,2011.0780821917808
29,Βοιωτία,ALI,20110130,00:00,19,1,2011-01-30,2011,1,30,30,2011.0808219178082
30,Βοιωτία,ALI,20110131,00:00,21,1,2011-01-31,2011,1,31,31,2011.0835616438355
31,Βοιωτία,ALI,20110201,00:00,24,1,2011-02-01,2011,2,1,32,2011.0863013698631
32,Βοιωτία,ALI,20110202,00:00,26,1,2011-02-02,2011,2,2,33,2011.0890410958905
33,Βοιωτία,ALI,20110203,00:00,11,1,2011-02-03,2011,2,3,34,2011.0917808219178
34,Βοιωτία,ALI,20110204,00:00,24,1,2011-02-04,2011,2,4,35,2011.0945205479452
35,Βοιωτία,ALI,20110205,00:00,39,1,2011-02-05,2011,2,5,36,2011.0972602739726
36,Βοιωτία,ALI,20110206,00:00,36,1,2011-02-06,2011,2,6,37,2011.1
37,Βοιωτία,ALI,20110207,00:00,34,1,2011-02-07,2011,2,7,38,2011.1027397260275
38,Βοιωτία,ALI,20110208,00:00,40,1,2011-02-08,2011,2,8,39,2011.1054794520549
39,Βοιωτία,ALI,20110209,00:00,31,1,2011-02-09,2011,2,9,40,2011.1082191780822
40,Βοιωτία,ALI,20110210,00:00,37,1,2011-02-10,2011,2,10,41,2011.1109589041096
41,Βοιωτία,ALI,20110211,00:00,40,1,2011-02-11,2011,2,11,42,2011.113698630137
42,Βοιωτία,ALI,20110212,00:00,39,1,2011-02-12,2011,2,12,43,2011.1164383561643
43,Βοιωτία,ALI,20110213,00:00,32,1,2011-02-13,2011,2,13,44,2011.1191780821919
44,Βοιωτία,ALI,20110214,00:00,41,1,2011-02-14,2011,2,14,45,2011.1219178082192
45,Βοιωτία,ALI,20110215,00:00,30,1,2011-02-15,2011,2,15,46,2011.1246575342466
46,Βοιωτία,ALI,20110216,00:00,25,1,2011-02-16,2011,2,16,47,2011.127397260274
47,Βοιωτία,ALI,20110217,00:00,23,1,2011-02-17,2011,2,17,48,2011.1301369863013
48,Βοιωτία,ALI,20110218,00:00,21,1,2011-02-18,2011,2,18,49,2011.1328767123289
49,Βοιωτία,ALI,20110219,00:00,8,1,2011-02-19,2011,2,19,50,2011.1356164383562
50,Βοιωτία,ALI,20110220,00:00,15,1,2011-02-20,2011,2,20,51,2011.1383561643836
51,Βοιωτία,ALI,20110221,00:00,19,1,2011-02-21,2011,2,21,52,2011.141095890411
109,Βοιωτία,ALI,20110420,00:00,27,1,2011-04-20,2011,4,20,110,2011.3
110,Βοιωτία,ALI,20110421,00:00,23,1,2011-04-21,2011,4,21,111,2011.3027397260273
111,Βοιωτία,ALI,20110422,00:00,23,1,2011-04-22,2011,4,22,112,2011.305479452055
112,Βοιωτία,ALI,20110423,00:00,21,1,2011-04-23,2011,4,23,113,2011.3082191780823
113,Βοιωτία,ALI,20110424,00:00,41,1,2011-04-24,2011,4,24,114,2011.3109589041096
114,Βοιωτία,ALI,20110425,00:00,23,1,2011-04-25,2011,4,25,115,2011.313698630137
115,Βοιωτία,ALI,20110426,00:00,17,1,2011-04-26,2011,4,26,116,2011.3164383561643
116,Βοιωτία,ALI,20110427,00:00,14,1,2011-04-27,2011,4,27,117,2011.3191780821917
117,Βοιωτία,ALI,20110428,00:00,19,1,2011-04-28,2011,4,28,118,2011.3219178082193
118,Βοιωτία,ALI,20110429,00:00,29,1,2011-04-29,2011,4,29,119,2011.3246575342466
119,Βοιωτία,ALI,20110430,00:00,27,1,2011-04-30,2011,4,30,120,2011.327397260274
120,Βοιωτία,ALI,20110501,00:00,29,1,2011-05-01,2011,5,1,121,2011.3301369863013
121,Βοιωτία,ALI,20110502,00:00,32,1,2011-05-02,2011,5,2,122,2011.3328767123287
122,Βοιωτία,ALI,20110503,00:00,43,1,2011-05-03,2011,5,3,123,2011.335616438356
123,Βοιωτία,ALI,20110504,00:00,45,1,2011-05-04,2011,5,4,124,2011.3383561643836
124,Βοιωτία,ALI,20110505,00:00,13,1,2011-05-05,2011,5,5,125,2011.341095890411
125,Βοιωτία,ALI,20110506,00:00,22,1,2011-05-06,2011,5,6,126,2011.3438356164384
126,Βοιωτία,ALI,20110507,00:00,24,1,2011-05-07,2011,5,7,127,2011.3465753424657
127,Βοιωτία,ALI,20110508,00:00,24,1,2011-05-08,2011,5,8,128,2011.349315068493
128,Βοιωτία,ALI,20110509,00:00,25,1,2011-05-09,2011,5,9,129,2011.3520547945207
129,Βοιωτία,ALI,20110510,00:00,25,1,2011-05-10,2011,5,10,130,2011.354794520548
130,Βοιωτία,ALI,20110511,00:00,23,1,2011-05-11,2011,5,11,131,2011.3575342465754
131,Βοιωτία,ALI,20110512,00:00,17,1,2011-05-12,2011,5,12,132,2011.3602739726027
132,Βοιωτία,ALI,20110513,00:00,21,1,2011-05-13,2011,5,13,133,2011.36301369863
133,Βοιωτία,ALI,20110514,00:00,26,1,2011-05-14,2011,5,14,134,2011.3657534246574
134,Βοιωτία,ALI,20110515,00:00,25,1,2011-05-15,2011,5,15,135,2011.368493150685
154,Βοιωτία,ALI,20110604,00:00,24,1,2011-06-04,2011,6,4,155,2011.4232876712329
155,Βοιωτία,ALI,20110605,00:00,27,1,2011-06-05,2011,6,5,156,2011.4260273972602
