,County,Station,YYYYMMDD,ToM,Daily Average,Validity,Date,Year,Month,Day,Day Number,Decimal Year
0,Ήπειρος,IOI,20100101,00:00,28,1,2010-01-01,2010,1,1,1,2010.0013698630137
1,Ήπειρος,IOI,20100102,00:00,17,1,2010-01-02,2010,1,2,2,2010.004109589041
2,Ήπειρος,IOI,20100103,00:00,13,1,2010-01-03,2010,1,3,3,2010.0068493150684
3,Ήπειρος,IOI,20100104,00:00,19,1,2010-01-04,2010,1,4,4,2010.009589041096
4,Ήπειρος,IOI,20100105,00:00,15,1,2010-01-05,2010,1,5,5,2010.0123287671233
5,Ήπειρος,IOI,20100106,00:00,38,1,2010-01-06,2010,1,6,6,2010.0150684931507
6,Ήπειρος,IOI,20100107,00:00,34,1,2010-01-07,2010,1,7,7,2010.017808219178
7,Ήπειρος,IOI,20100108,00:00,15,1,2010-01-08,2010,1,8,8,2010.0205479452054
8,Ήπειρος,IOI,20100109,00:00,26,1,2010-01-09,2010,1,9,9,2010.0232876712328
9,Ήπειρος,IOI,20100110,00:00,11,1,2010-01-10,2010,1,10,10,2010.0260273972603
10,Ήπειρος,IOI,20100111,00:00,13,1,2010-01-11,2010,1,11,11,2010.0287671232877
11,Ήπειρος,IOI,20100112,00:00,15,1,2010-01-12,2010,1,12,12,2010.031506849315
12,Ήπειρος,IOI,20100113,00:00,13,1,2010-01-13,2010,1,13,13,2010.0342465753424
13,Ήπειρος,IOI,20100114,00:00,20,1,2010-01-14,2010,1,14,14,2010.0369863013698
14,Ήπειρος,IOI,20100115,00:00,16,1,2010-01-15,2010,1,15,15,2010.0397260273974
15,Ήπειρος,IOI,20100116,00:00,11,1,2010-01-16,2010,1,16,16,2010.0424657534247
16,Ήπειρος,IOI,20100117,00:00,18,1,2010-01-17,2010,1,17,17,2010.045205479452
17,Ήπειρος,IOI,20100118,00:00,17,1,2010-01-18,2010,1,18,18,2010.0479452054794
18,Ήπειρος,IOI,20100119,00:00,28,1,2010-01-19,2010,1,19,19,2010.0506849315068
19,Ήπειρος,IOI,20100120,00:00,32,1,2010-01-20,2010,1,20,20,2010.0534246575342
20,Ήπειρος,IOI,20100121,00:00,24,1,2010-01-21,2010,1,21,21,2010.0561643835617
21,Ήπειρος,IOI,20100122,00:00,15,1,2010-01-22,2010,1,22,22,2010.058904109589
22,Ήπειρος,IOI,20100123,00:00,16,1,2010-01-23,2010,1,23,23,2010.0616438356165
23,Ήπειρος,IOI,20100124,00:00,46,1,2010-01-24,2010,1,24,24,2010.0643835616438
24,Ήπειρος,IOI,20100125,00:00,32,1,2010-01-25,2010,1,25,25,2010.0671232876712
25,Ήπειρος,IOI,20100126,00:00,24,1,2010-01-26,2010,1,26,26,2010.0698630136985
26,Ήπειρος,IOI,20100127,00:00,14,1,2010-01-27,2010,1,27,27,2010.072602739726
27,Ήπειρος,IOI,20100128,00:00,22,1,2010-01-28,2010,1,28,28,2010.0753424657535
28,Ήπειρος,IOI,20100129,00:00,14,1,2010-01-29,2010,1,29,29,2010.0780821917808
29,Ήπειρος,IOI,20100130,00:00,8,1,2010-01-30,2010,1,30,30,2010.0808219178082
30,Ήπειρος,IOI,20100131,00:00,13,1,2010-01-31,2010,1,31,31,2010.0835616438355
31,Ήπειρος,IOI,20100201,00:00,13,1,2010-02-01,2010,2,1,32,2010.0863013698631
32,Ήπειρος,IOI,20100202,00:00,9,1,2010-02-02,2010,2,2,33,2010.0890410958905
33,Ήπειρος,IOI,20100203,00:00,24,1,2010-02-03,2010,2,3,34,2010.0917808219178
34,Ήπειρος,IOI,20100204,00:00,40,1,2010-02-04,2010,2,4,35,2010.0945205479452
35,Ήπειρος,IOI,20100205,00:00,28,1,2010-02-05,2010,2,5,36,2010.0972602739726
36,Ήπειρος,IOI,20100206,00:00,11,1,2010-02-06,2010,2,6,37,2010.1
37,Ήπειρος,IOI,20100207,00:00,13,1,2010-02-07,2010,2,7,38,2010.1027397260275
