,County,Station,YYYYMMDD,ToM,Daily Average,Validity,Date,Year,Month,Day,Day Number,Decimal Year
0,Ηράκλειο,IRA,20160101,00:00,10,1,2016-01-01,2016,1,1,1,2016.0013661202186
1,Ηράκλειο,IRA,20160102,00:00,10,1,2016-01-02,2016,1,2,2,2016.0040983606557
2,Ηράκλειο,IRA,20160103,00:00,8,1,2016-01-03,2016,1,3,3,2016.0068306010928
3,Ηράκλειο,IRA,20160104,00:00,13,1,2016-01-04,2016,1,4,4,2016.00956284153
4,Ηράκλειο,IRA,20160105,00:00,11,1,2016-01-05,2016,1,5,5,2016.0122950819673
5,Ηράκλειο,IRA,20160106,00:00,21,1,2016-01-06,2016,1,6,6,2016.0150273224044
6,Ηράκλειο,IRA,20160107,00:00,12,1,2016-01-07,2016,1,7,7,2016.0177595628415
7,Ηράκλειο,IRA,20160108,00:00,11,1,2016-01-08,2016,1,8,8,2016.0204918032787
8,Ηράκλειο,IRA,20160109,00:00,14,1,2016-01-09,2016,1,9,9,2016.0232240437158
9,Ηράκλειο,IRA,20160110,00:00,11,1,2016-01-10,2016,1,10,10,2016.025956284153
10,Ηράκλειο,IRA,20160111,00:00,15,1,2016-01-11,2016,1,11,11,2016.02868852459
11,Ηράκλειο,IRA,20160112,00:00,17,1,2016-01-12,2016,1,12,12,2016.0314207650274
12,Ηράκλειο,IRA,20160113,00:00,19,1,2016-01-13,2016,1,13,13,2016.0341530054645
13,Ηράκλειο,IRA,20160114,00:00,10,1,2016-01-14,2016,1,14,14,2016.0368852459017
14,Ηράκλειο,IRA,20160115,00:00,10,1,2016-01-15,2016,1,15,15,2016.0396174863388
15,Ηράκλειο,IRA,20160116,00:00,17,1,2016-01-16,2016,1,16,16,2016.042349726776
16,Ηράκλειο,IRA,20160117,00:00,14,1,2016-01-17,2016,1,17,17,2016.045081967213
19,Ηράκλειο,IRA,20160120,00:00,12,1,2016-01-20,2016,1,20,20,2016.0532786885246
20,Ηράκλειο,IRA,20160121,00:00,13,1,2016-01-21,2016,1,21,21,2016.0560109289618
21,Ηράκλειο,IRA,20160122,00:00,8,1,2016-01-22,2016,1,22,22,2016.058743169399
22,Ηράκλειο,IRA,20160123,00:00,10,1,2016-01-23,2016,1,23,23,2016.061475409836
23,Ηράκλειο,IRA,20160124,00:00,8,1,2016-01-24,2016,1,24,24,2016.0642076502731
25,Ηράκλειο,IRA,20160126,00:00,11,1,2016-01-26,2016,1,26,26,2016.0696721311476
26,Ηράκλειο,IRA,20160127,00:00,10,1,2016-01-27,2016,1,27,27,2016.0724043715848
27,Ηράκλειο,IRA,20160128,00:00,15,1,2016-01-28,2016,1,28,28,2016.0751366120219
28,Ηράκλειο,IRA,20160129,00:00,11,1,2016-01-29,2016,1,29,29,2016.077868852459
29,Ηράκλειο,IRA,20160130,00:00,11,1,2016-01-30,2016,1,30,30,2016.0806010928961
30,Ηράκλειο,IRA,20160131,00:00,13,1,2016-01-31,2016,1,31,31,2016.0833333333333
31,Ηράκλειο,IRA,20160201,00:00,13,1,2016-02-01,2016,2,1,32,2016.0860655737704
32,Ηράκλειο,IRA,20160202,00:00,18,1,2016-02-02,2016,2,2,33,2016.0887978142077
33,Ηράκλειο,IRA,20160203,00:00,9,1,2016-02-03,2016,2,3,34,2016.0915300546449
34,Ηράκλειο,IRA,20160204,00:00,10,1,2016-02-04,2016,2,4,35,2016.094262295082
35,Ηράκλειο,IRA,20160205,00:00,11,1,2016-02-05,2016,2,5,36,2016.0969945355191
38,Ηράκλειο,IRA,20160208,00:00,11,1,2016-02-08,2016,2,8,39,2016.1051912568305
39,Ηράκλειο,IRA,20160209,00:00,11,1,2016-02-09,2016,2,9,40,2016.1079234972678
40,Ηράκλειο,IRA,20160210,00:00,10,1,2016-02-10,2016,2,10,41,2016.110655737705
41,Ηράκλειο,IRA,20160211,00:00,13,1,2016-02-11,2016,2,11,42,2016.113387978142
42,Ηράκλειο,IRA,20160212,00:00,10,1,2016-02-12,2016,2,12,43,2016.1161202185792
43,Ηράκλειο,IRA,20160213,00:00,22,1,2016-02-13,2016,2,13,44,2016.1188524590164
44,Ηράκλειο,IRA,20160214,00:00,12,1,2016-02-14,2016,2,14,45,2016.1215846994535
45,Ηράκλειο,IRA,20160215,00:00,10,1,2016-02-15,2016,2,15,46,2016.1243169398906
46,Ηράκλειο,IRA,20160216,00:00,10,1,2016-02-16,2016,2,16,47,2016.127049180328
47,Ηράκλειο,IRA,20160217,00:00,13,1,2016-02-17,2016,2,17,48,2016.129781420765
48,Ηράκλειο,IRA,20160218,00:00,22,1,2016-02-18,2016,2,18,49,2016.1325136612022
49,Ηράκλειο,IRA,20160219,00:00,25,1,2016-02-19,2016,2,19,50,2016.1352459016393
50,Ηράκλειο,IRA,20160220,00:00,14,1,2016-02-20,2016,2,20,51,2016.1379781420765
51,Ηράκλειο,IRA,20160221,00:00,12,1,2016-02-21,2016,2,21,52,2016.1407103825136
52,Ηράκλειο,IRA,20160222,00:00,8,1,2016-02-22,2016,2,22,53,2016.1434426229507
53,Ηράκλειο,IRA,20160223,00:00,17,1,2016-02-23,2016,2,23,54,2016.146174863388
54,Ηράκλειο,IRA,20160224,00:00,15,1,2016-02-24,2016,2,24,55,2016.1489071038252
55,Ηράκλειο,IRA,20160225,00:00,16,1,2016-02-25,2016,2,25,56,2016.1516393442623
56,Ηράκλειο,IRA,20160226,00:00,23,1,2016-02-26,2016,2,26,57,2016.1543715846994
57,Ηράκλειο,IRA,20160227,00:00,19,1,2016-02-27,2016,2,27,58,2016.1571038251366
58,Ηράκλειο,IRA,20160228,00:00,15,1,2016-02-28,2016,2,28,59,2016.1598360655737
59,Ηράκλειο,IRA,20160229,00:00,13,1,2016-02-29,2016,2,29,60,2016.1625683060108
60,Ηράκλειο,IRA,20160301,00:00,20,1,2016-03-01,2016,3,1,61,2016.1653005464482
61,Ηράκλειο,IRA,20160302,00:00,11,1,2016-03-02,2016,3,2,62,2016.1680327868853
62,Ηράκλειο,IRA,20160303,00:00,7,1,2016-03-03,2016,3,3,63,2016.1707650273224
63,Ηράκλειο,IRA,20160304,00:00,8,1,2016-03-04,2016,3,4,64,2016.1734972677596
64,Ηράκλειο,IRA,20160305,00:00,9,1,2016-03-05,2016,3,5,65,2016.1762295081967
65,Ηράκλειο,IRA,20160306,00:00,6,1,2016-03-06,2016,3,6,66,2016.1789617486338
66,Ηράκλειο,IRA,20160307,00:00,7,1,2016-03-07,2016,3,7,67,2016.181693989071
67,Ηράκλειο,IRA,20160308,00:00,8,1,2016-03-08,2016,3,8,68,2016.1844262295083
68,Ηράκλειο,IRA,20160309,00:00,10,1,2016-03-09,2016,3,9,69,2016.1871584699454
76,Ηράκλειο,IRA,20160317,00:00,23,1,2016-03-17,2016,3,17,77,2016.2090163934427
77,Ηράκλειο,IRA,20160318,00:00,24,1,2016-03-18,2016,3,18,78,2016.2117486338798
78,Ηράκλειο,IRA,20160319,00:00,15,1,2016-03-19,2016,3,19,79,2016.214480874317
79,Ηράκλειο,IRA,20160320,00:00,19,1,2016-03-20,2016,3,20,80,2016.217213114754
80,Ηράκλειο,IRA,20160321,00:00,22,1,2016-03-21,2016,3,21,81,2016.2199453551912
81,Ηράκλειο,IRA,20160322,00:00,27,1,2016-03-22,2016,3,22,82,2016.2226775956285
82,Ηράκλειο,IRA,20160323,00:00,340,1,2016-03-23,2016,3,23,83,2016.2254098360656
83,Ηράκλειο,IRA,20160324,00:00,115,1,2016-03-24,2016,3,24,84,2016.2281420765028
84,Ηράκλειο,IRA,20160325,00:00,37,1,2016-03-25,2016,3,25,85,2016.23087431694
85,Ηράκλειο,IRA,20160326,00:00,17,1,2016-03-26,2016,3,26,86,2016.233606557377
86,Ηράκλειο,IRA,20160327,00:00,14,1,2016-03-27,2016,3,27,87,2016.2363387978141
87,Ηράκλειο,IRA,20160328,00:00,21,1,2016-03-28,2016,3,28,88,2016.2390710382513
88,Ηράκλειο,IRA,20160329,00:00,20,1,2016-03-29,2016,3,29,89,2016.2418032786886
89,Ηράκλειο,IRA,20160330,00:00,15,1,2016-03-30,2016,3,30,90,2016.2445355191257
90,Ηράκλειο,IRA,20160331,00:00,16,1,2016-03-31,2016,3,31,91,2016.2472677595629
91,Ηράκλειο,IRA,20160401,00:00,16,1,2016-04-01,2016,4,1,92,2016.25
92,Ηράκλειο,IRA,20160402,00:00,16,1,2016-04-02,2016,4,2,93,2016.2527322404371
93,Ηράκλειο,IRA,20160403,00:00,21,1,2016-04-03,2016,4,3,94,2016.2554644808743
94,Ηράκλειο,IRA,20160404,00:00,33,1,2016-04-04,2016,4,4,95,2016.2581967213114
95,Ηράκλειο,IRA,20160405,00:00,27,1,2016-04-05,2016,4,5,96,2016.2609289617487
96,Ηράκλειο,IRA,20160406,00:00,27,1,2016-04-06,2016,4,6,97,2016.2636612021859
97,Ηράκλειο,IRA,20160407,00:00,41,1,2016-04-07,2016,4,7,98,2016.266393442623
98,Ηράκλειο,IRA,20160408,00:00,121,1,2016-04-08,2016,4,8,99,2016.26912568306
99,Ηράκλειο,IRA,20160409,00:00,64,1,2016-04-09,2016,4,9,100,2016.2718579234972
