,County,Station,YYYYMMDD,ToM,Daily Average,Validity,Date,Year,Month,Day,Day Number,Decimal Year
26,Λάρισσα,LAR,20070127,00:00,29,1,2007-01-27,2007,1,27,27,2007.072602739726
27,Λάρισσα,LAR,20070128,00:00,23,1,2007-01-28,2007,1,28,28,2007.0753424657535
28,Λάρισσα,LAR,20070129,00:00,27,1,2007-01-29,2007,1,29,29,2007.0780821917808
29,Λάρισσα,LAR,20070130,00:00,37,1,2007-01-30,2007,1,30,30,2007.0808219178082
30,Λάρισσα,LAR,20070131,00:00,58,1,2007-01-31,2007,1,31,31,2007.0835616438355
31,Λάρισσα,LAR,20070201,00:00,51,1,2007-02-01,2007,2,1,32,2007.0863013698631
42,Λάρισσα,LAR,20070212,00:00,24,1,2007-02-12,2007,2,12,43,2007.1164383561643
43,Λάρισσα,LAR,20070213,00:00,61,1,2007-02-13,2007,2,13,44,2007.1191780821919
44,Λάρισσα,LAR,20070214,00:00,31,1,2007-02-14,2007,2,14,45,2007.1219178082192
49,Λάρισσα,LAR,20070219,00:00,35,1,2007-02-19,2007,2,19,50,2007.1356164383562
50,Λάρισσα,LAR,20070220,00:00,54,1,2007-02-20,2007,2,20,51,2007.1383561643836
52,Λάρισσα,LAR,20070222,00:00,68,1,2007-02-22,2007,2,22,53,2007.1438356164383
53,Λάρισσα,LAR,20070223,00:00,77,1,2007-02-23,2007,2,23,54,2007.1465753424657
54,Λάρισσα,LAR,20070224,00:00,43,1,2007-02-24,2007,2,24,55,2007.1493150684933
55,Λάρισσα,LAR,20070225,00:00,30,1,2007-02-25,2007,2,25,56,2007.1520547945206
57,Λάρισσα,LAR,20070227,00:00,31,1,2007-02-27,2007,2,27,58,2007.1575342465753
58,Λάρισσα,LAR,20070228,00:00,29,1,2007-02-28,2007,2,28,59,2007.1602739726027
59,Λάρισσα,LAR,20070301,00:00,48,1,2007-03-01,2007,3,1,60,2007.16301369863
60,Λάρισσα,LAR,20070302,00:00,43,1,2007-03-02,2007,3,2,61,2007.1657534246576
61,Λάρισσα,LAR,20070303,00:00,34,1,2007-03-03,2007,3,3,62,2007.168493150685
62,Λάρισσα,LAR,20070304,00:00,25,1,2007-03-04,2007,3,4,63,2007.1712328767123
64,Λάρισσα,LAR,20070306,00:00,37,1,2007-03-06,2007,3,6,65,2007.176712328767
65,Λάρισσα,LAR,20070307,00:00,43,1,2007-03-07,2007,3,7,66,2007.1794520547944
66,Λάρισσα,LAR,20070308,00:00,40,1,2007-03-08,2007,3,8,67,2007.182191780822
67,Λάρισσα,LAR,20070309,00:00,59,1,2007-03-09,2007,3,9,68,2007.1849315068494
68,Λάρισσα,LAR,20070310,00:00,54,1,2007-03-10,2007,3,10,69,2007.1876712328767
69,Λάρισσα,LAR,20070311,00:00,51,1,2007-03-11,2007,3,11,70,2007.190410958904
70,Λάρισσα,LAR,20070312,00:00,52,1,2007-03-12,2007,3,12,71,2007.1931506849314
71,Λάρισσα,LAR,20070313,00:00,54,1,2007-03-13,2007,3,13,72,2007.195890410959
72,Λάρισσα,LAR,20070314,00:00,35,1,2007-03-14,2007,3,14,73,2007.1986301369864
75,Λάρισσα,LAR,20070317,00:00,68,1,2007-03-17,2007,3,17,76,2007.2068493150684
76,Λάρισσα,LAR,20070318,00:00,39,1,2007-03-18,2007,3,18,77,2007.2095890410958
77,Λάρισσα,LAR,20070319,00:00,51,1,2007-03-19,2007,3,19,78,2007.2123287671234
78,Λάρισσα,LAR,20070320,00:00,61,1,2007-03-20,2007,3,20,79,2007.2150684931507
79,Λάρισσα,LAR,20070321,00:00,36,1,2007-03-21,2007,3,21,80,2007.217808219178
80,Λάρισσα,LAR,20070322,00:00,26,1,2007-03-22,2007,3,22,81,2007.2205479452055
81,Λάρισσα,LAR,20070323,00:00,12,1,2007-03-23,2007,3,23,82,2007.2232876712328
82,Λάρισσα,LAR,20070324,00:00,20,1,2007-03-24,2007,3,24,83,2007.2260273972602
83,Λάρισσα,LAR,20070325,00:00,22,1,2007-03-25,2007,3,25,84,2007.2287671232878
85,Λάρισσα,LAR,20070327,00:00,46,1,2007-03-27,2007,3,27,86,2007.2342465753425
86,Λάρισσα,LAR,20070328,00:00,33,1,2007-03-28,2007,3,28,87,2007.2369863013698
87,Λάρισσα,LAR,20070329,00:00,49,1,2007-03-29,2007,3,29,88,2007.2397260273972
88,Λάρισσα,LAR,20070330,00:00,53,1,2007-03-30,2007,3,30,89,2007.2424657534248
89,Λάρισσα,LAR,20070331,00:00,32,1,2007-03-31,2007,3,31,90,2007.2452054794521
90,Λάρισσα,LAR,20070401,00:00,26,1,2007-04-01,2007,4,1,91,2007.2479452054795
91,Λάρισσα,LAR,20070402,00:00,45,1,2007-04-02,2007,4,2,92,2007.2506849315068
92,Λάρισσα,LAR,20070403,00:00,50,1,2007-04-03,2007,4,3,93,2007.2534246575342
94,Λάρισσα,LAR,20070405,00:00,43,1,2007-04-05,2007,4,5,95,2007.2589041095891
95,Λάρισσα,LAR,20070406,00:00,36,1,2007-04-06,2007,4,6,96,2007.2616438356165
96,Λάρισσα,LAR,20070407,00:00,41,1,2007-04-07,2007,4,7,97,2007.2643835616439
97,Λάρισσα,LAR,20070408,00:00,55,1,2007-04-08,2007,4,8,98,2007.2671232876712
98,Λάρισσα,LAR,20070409,00:00,32,1,2007-04-09,2007,4,9,99,2007.2698630136986
99,Λάρισσα,LAR,20070410,00:00,50,1,2007-04-10,2007,4,10,100,2007.272602739726
100,Λάρισσα,LAR,20070411,00:00,57,1,2007-04-11,2007,4,11,101,2007.2753424657535
101,Λάρισσα,LAR,20070412,00:00,31,1,2007-04-12,2007,4,12,102,2007.2780821917809
102,Λάρισσα,LAR,20070413,00:00,54,1,2007-04-13,2007,4,13,103,2007.2808219178082
103,Λάρισσα,LAR,20070414,00:00,49,1,2007-04-14,2007,4,14,104,2007.2835616438356
104,Λάρισσα,LAR,20070415,00:00,43,1,2007-04-15,2007,4,15,105,2007.286301369863
105,Λάρισσα,LAR,20070416,00:00,33,1,2007-04-16,2007,4,16,106,2007.2890410958903
107,Λάρισσα,LAR,20070418,00:00,42,1,2007-04-18,2007,4,18,108,2007.2945205479452
109,Λάρισσα,LAR,20070420,00:00,47,1,2007-04-20,2007,4,20,110,2007.3
111,Λάρισσα,LAR,20070422,00:00,51,1,2007-04-22,2007,4,22,112,2007.305479452055
112,Λάρισσα,LAR,20070423,00:00,54,1,2007-04-23,2007,4,23,113,2007.3082191780823
116,Λάρισσα,LAR,20070427,00:00,34,1,2007-04-27,2007,4,27,117,2007.3191780821917
117,Λάρισσα,LAR,20070428,00:00,31,1,2007-04-28,2007,4,28,118,2007.3219178082193
118,Λάρισσα,LAR,20070429,00:00,37,1,2007-04-29,2007,4,29,119,2007.3246575342466
119,Λάρισσα,LAR,20070430,00:00,57,1,2007-04-30,2007,4,30,120,2007.327397260274
120,Λάρισσα,LAR,20070501,00:00,34,1,2007-05-01,2007,5,1,121,2007.3301369863013
121,Λάρισσα,LAR,20070502,00:00,39,1,2007-05-02,2007,5,2,122,2007.3328767123287
122,Λάρισσα,LAR,20070503,00:00,40,1,2007-05-03,2007,5,3,123,2007.335616438356
123,Λάρισσα,LAR,20070504,00:00,39,1,2007-05-04,2007,5,4,124,2007.3383561643836
124,Λάρισσα,LAR,20070505,00:00,45,1,2007-05-05,2007,5,5,125,2007.341095890411
125,Λάρισσα,LAR,20070506,00:00,38,1,2007-05-06,2007,5,6,126,2007.3438356164384
126,Λάρισσα,LAR,20070507,00:00,76,1,2007-05-07,2007,5,7,127,2007.3465753424657
127,Λάρισσα,LAR,20070508,00:00,79,1,2007-05-08,2007,5,8,128,2007.349315068493
128,Λάρισσα,LAR,20070509,00:00,48,1,2007-05-09,2007,5,9,129,2007.3520547945207
129,Λάρισσα,LAR,20070510,00:00,55,1,2007-05-10,2007,5,10,130,2007.354794520548
130,Λάρισσα,LAR,20070511,00:00,47,1,2007-05-11,2007,5,11,131,2007.3575342465754
131,Λάρισσα,LAR,20070512,00:00,58,1,2007-05-12,2007,5,12,132,2007.3602739726027
132,Λάρισσα,LAR,20070513,00:00,54,1,2007-05-13,2007,5,13,133,2007.36301369863
133,Λάρισσα,LAR,20070514,00:00,43,1,2007-05-14,2007,5,14,134,2007.3657534246574
134,Λάρισσα,LAR,20070515,00:00,36,1,2007-05-15,2007,5,15,135,2007.368493150685
135,Λάρισσα,LAR,20070516,00:00,42,1,2007-05-16,2007,5,16,136,2007.3712328767124
136,Λάρισσα,LAR,20070517,00:00,55,1,2007-05-17,2007,5,17,137,2007.3739726027397
137,Λάρισσα,LAR,20070518,00:00,29,1,2007-05-18,2007,5,18,138,2007.376712328767
138,Λάρισσα,LAR,20070519,00:00,53,1,2007-05-19,2007,5,19,139,2007.3794520547945
139,Λάρισσα,LAR,20070520,00:00,15,1,2007-05-20,2007,5,20,140,2007.3821917808218
140,Λάρισσα,LAR,20070521,00:00,32,1,2007-05-21,2007,5,21,141,2007.3849315068494
141,Λάρισσα,LAR,20070522,00:00,48,1,2007-05-22,2007,5,22,142,2007.3876712328768
142,Λάρισσα,LAR,20070523,00:00,23,1,2007-05-23,2007,5,23,143,2007.390410958904
143,Λάρισσα,LAR,20070524,00:00,23,1,2007-05-24,2007,5,24,144,2007.3931506849315
144,Λάρισσα,LAR,20070525,00:00,36,1,2007-05-25,2007,5,25,145,2007.3958904109588
145,Λάρισσα,LAR,20070526,00:00,37,1,2007-05-26,2007,5,26,146,2007.3986301369864
146,Λάρισσα,LAR,20070527,00:00,49,1,2007-05-27,2007,5,27,147,2007.4013698630138
147,Λάρισσα,LAR,20070528,00:00,61,1,2007-05-28,2007,5,28,148,2007.4041095890411
148,Λάρισσα,LAR,20070529,00:00,44,1,2007-05-29,2007,5,29,149,2007.4068493150685
149,Λάρισσα,LAR,20070530,00:00,23,1,2007-05-30,2007,5,30,150,2007.4095890410958
150,Λάρισσα,LAR,20070531,00:00,26,1,2007-05-31,2007,5,31,151,2007.4123287671232
151,Λάρισσα,LAR,20070601,00:00,33,1,2007-06-01,2007,6,1,152,2007.4150684931508
152,Λάρισσα,LAR,20070602,00:00,35,1,2007-06-02,2007,6,2,153,2007.4178082191781
153,Λάρισσα,LAR,20070603,00:00,34,1,2007-06-03,2007,6,3,154,2007.4205479452055
154,Λάρισσα,LAR,20070604,00:00,52,1,2007-06-04,2007,6,4,155,2007.4232876712329
155,Λάρισσα,LAR,20070605,00:00,37,1,2007-06-05,2007,6,5,156,2007.4260273972602
156,Λάρισσα,LAR,20070606,00:00,25,1,2007-06-06,2007,6,6,157,2007.4287671232876
157,Λάρισσα,LAR,20070607,00:00,39,1,2007-06-07,2007,6,7,158,2007.4315068493152
158,Λάρισσα,LAR,20070608,00:00,40,1,2007-06-08,2007,6,8,159,2007.4342465753425
159,Λάρισσα,LAR,20070609,00:00,38,1,2007-06-09,2007,6,9,160,2007.4369863013699
160,Λάρισσα,LAR,20070610,00:00,41,1,2007-06-10,2007,6,10,161,2007.4397260273972
161,Λάρισσα,LAR,20070611,00:00,41,1,2007-06-11,2007,6,11,162,2007.4424657534246
162,Λάρισσα,LAR,20070612,00:00,45,1,2007-06-12,2007,6,12,163,2007.445205479452
163,Λάρισσα,LAR,20070613,00:00,54,1,2007-06-13,2007,6,13,164,2007.4479452054795
164,Λάρισσα,LAR,20070614,00:00,42,1,2007-06-14,2007,6,14,165,2007.4506849315069
165,Λάρισσα,LAR,20070615,00:00,35,1,2007-06-15,2007,6,15,166,2007.4534246575342
166,Λάρισσα,LAR,20070616,00:00,42,1,2007-06-16,2007,6,16,167,2007.4561643835616
167,Λάρισσα,LAR,20070617,00:00,33,1,2007-06-17,2007,6,17,168,2007.458904109589
168,Λάρισσα,LAR,20070618,00:00,42,1,2007-06-18,2007,6,18,169,2007.4616438356165
169,Λάρισσα,LAR,20070619,00:00,48,1,2007-06-19,2007,6,19,170,2007.464383561644
170,Λάρισσα,LAR,20070620,00:00,48,1,2007-06-20,2007,6,20,171,2007.4671232876713
171,Λάρισσα,LAR,20070621,00:00,50,1,2007-06-21,2007,6,21,172,2007.4698630136986
172,Λάρισσα,LAR,20070622,00:00,60,1,2007-06-22,2007,6,22,173,2007.472602739726
173,Λάρισσα,LAR,20070623,00:00,71,1,2007-06-23,2007,6,23,174,2007.4753424657533
174,Λάρισσα,LAR,20070624,00:00,88,1,2007-06-24,2007,6,24,175,2007.478082191781
175,Λάρισσα,LAR,20070625,00:00,95,1,2007-06-25,2007,6,25,176,2007.4808219178083
176,Λάρισσα,LAR,20070626,00:00,86,1,2007-06-26,2007,6,26,177,2007.4835616438356
177,Λάρισσα,LAR,20070627,00:00,93,1,2007-06-27,2007,6,27,178,2007.486301369863
178,Λάρισσα,LAR,20070628,00:00,55,1,2007-06-28,2007,6,28,179,2007.4890410958903
179,Λάρισσα,LAR,20070629,00:00,58,1,2007-06-29,2007,6,29,180,2007.4917808219177
180,Λάρισσα,LAR,20070630,00:00,50,1,2007-06-30,2007,6,30,181,2007.4945205479453
181,Λάρισσα,LAR,20070701,00:00,32,1,2007-07-01,2007,7,1,182,2007.4972602739726
182,Λάρισσα,LAR,20070702,00:00,50,1,2007-07-02,2007,7,2,183,2007.5
