,County,Station,YYYYMMDD,ToM,Daily Average,Validity,Date,Year,Month,Day,Day Number,Decimal Year
133,Βοιωτία,OIN,20080513,00:00,27,1,2008-05-13,2008,5,13,134,2008.3647540983607
134,Βοιωτία,OIN,20080514,00:00,38,1,2008-05-14,2008,5,14,135,2008.3674863387978
135,Βοιωτία,OIN,20080515,00:00,36,1,2008-05-15,2008,5,15,136,2008.370218579235
136,Βοιωτία,OIN,20080516,00:00,43,1,2008-05-16,2008,5,16,137,2008.372950819672
137,Βοιωτία,OIN,20080517,00:00,45,1,2008-05-17,2008,5,17,138,2008.3756830601094
138,Βοιωτία,OIN,20080518,00:00,45,1,2008-05-18,2008,5,18,139,2008.3784153005465
139,Βοιωτία,OIN,20080519,00:00,53,1,2008-05-19,2008,5,19,140,2008.3811475409836
140,Βοιωτία,OIN,20080520,00:00,91,1,2008-05-20,2008,5,20,141,2008.3838797814208
141,Βοιωτία,OIN,20080521,00:00,98,1,2008-05-21,2008,5,21,142,2008.386612021858
142,Βοιωτία,OIN,20080522,00:00,31,1,2008-05-22,2008,5,22,143,2008.389344262295
143,Βοιωτία,OIN,20080523,00:00,26,1,2008-05-23,2008,5,23,144,2008.3920765027322
144,Βοιωτία,OIN,20080524,00:00,28,1,2008-05-24,2008,5,24,145,2008.3948087431695
145,Βοιωτία,OIN,20080525,00:00,30,1,2008-05-25,2008,5,25,146,2008.3975409836066
146,Βοιωτία,OIN,20080526,00:00,38,1,2008-05-26,2008,5,26,147,2008.4002732240438
147,Βοιωτία,OIN,20080527,00:00,44,1,2008-05-27,2008,5,27,148,2008.4030054644809
148,Βοιωτία,OIN,20080528,00:00,57,1,2008-05-28,2008,5,28,149,2008.405737704918
149,Βοιωτία,OIN,20080529,00:00,62,1,2008-05-29,2008,5,29,150,2008.4084699453551
150,Βοιωτία,OIN,20080530,00:00,38,1,2008-05-30,2008,5,30,151,2008.4112021857923
151,Βοιωτία,OIN,20080531,00:00,46,1,2008-05-31,2008,5,31,152,2008.4139344262296
152,Βοιωτία,OIN,20080601,00:00,54,1,2008-06-01,2008,6,1,153,2008.4166666666667
153,Βοιωτία,OIN,20080602,00:00,47,1,2008-06-02,2008,6,2,154,2008.4193989071039
154,Βοιωτία,OIN,20080603,00:00,37,1,2008-06-03,2008,6,3,155,2008.422131147541
155,Βοιωτία,OIN,20080604,00:00,33,1,2008-06-04,2008,6,4,156,2008.4248633879781
156,Βοιωτία,OIN,20080605,00:00,44,1,2008-06-05,2008,6,5,157,2008.4275956284152
157,Βοιωτία,OIN,20080606,00:00,35,1,2008-06-06,2008,6,6,158,2008.4303278688524
158,Βοιωτία,OIN,20080607,00:00,37,1,2008-06-07,2008,6,7,159,2008.4330601092897
159,Βοιωτία,OIN,20080608,00:00,25,1,2008-06-08,2008,6,8,160,2008.4357923497269
160,Βοιωτία,OIN,20080609,00:00,33,1,2008-06-09,2008,6,9,161,2008.438524590164
161,Βοιωτία,OIN,20080610,00:00,31,1,2008-06-10,2008,6,10,162,2008.441256830601
162,Βοιωτία,OIN,20080611,00:00,37,1,2008-06-11,2008,6,11,163,2008.4439890710382
163,Βοιωτία,OIN,20080612,00:00,46,1,2008-06-12,2008,6,12,164,2008.4467213114754
164,Βοιωτία,OIN,20080613,00:00,41,1,2008-06-13,2008,6,13,165,2008.4494535519125
165,Βοιωτία,OIN,20080614,00:00,24,1,2008-06-14,2008,6,14,166,2008.4521857923498
166,Βοιωτία,OIN,20080615,00:00,18,1,2008-06-15,2008,6,15,167,2008.454918032787
167,Βοιωτία,OIN,20080616,00:00,31,1,2008-06-16,2008,6,16,168,2008.457650273224
168,Βοιωτία,OIN,20080617,00:00,31,1,2008-06-17,2008,6,17,169,2008.4603825136612
169,Βοιωτία,OIN,20080618,00:00,50,1,2008-06-18,2008,6,18,170,2008.4631147540983
170,Βοιωτία,OIN,20080619,00:00,66,1,2008-06-19,2008,6,19,171,2008.4658469945355
171,Βοιωτία,OIN,20080620,00:00,55,1,2008-06-20,2008,6,20,172,2008.4685792349726
172,Βοιωτία,OIN,20080621,00:00,58,1,2008-06-21,2008,6,21,173,2008.47131147541
173,Βοιωτία,OIN,20080622,00:00,52,1,2008-06-22,2008,6,22,174,2008.474043715847
174,Βοιωτία,OIN,20080623,00:00,38,1,2008-06-23,2008,6,23,175,2008.4767759562842
175,Βοιωτία,OIN,20080624,00:00,48,1,2008-06-24,2008,6,24,176,2008.4795081967213
176,Βοιωτία,OIN,20080625,00:00,54,1,2008-06-25,2008,6,25,177,2008.4822404371585
177,Βοιωτία,OIN,20080626,00:00,72,1,2008-06-26,2008,6,26,178,2008.4849726775956
178,Βοιωτία,OIN,20080627,00:00,49,1,2008-06-27,2008,6,27,179,2008.4877049180327
179,Βοιωτία,OIN,20080628,00:00,43,1,2008-06-28,2008,6,28,180,2008.49043715847
180,Βοιωτία,OIN,20080629,00:00,45,1,2008-06-29,2008,6,29,181,2008.4931693989072
181,Βοιωτία,OIN,20080630,00:00,47,1,2008-06-30,2008,6,30,182,2008.4959016393443
182,Βοιωτία,OIN,20080701,00:00,40,1,2008-07-01,2008,7,1,183,2008.4986338797814
186,Βοιωτία,OIN,20080705,00:00,39,1,2008-07-05,2008,7,5,187,2008.50956284153
187,Βοιωτία,OIN,20080706,00:00,40,1,2008-07-06,2008,7,6,188,2008.5122950819673
188,Βοιωτία,OIN,20080707,00:00,33,1,2008-07-07,2008,7,7,189,2008.5150273224044
189,Βοιωτία,OIN,20080708,00:00,56,1,2008-07-08,2008,7,8,190,2008.5177595628415
190,Βοιωτία,OIN,20080709,00:00,62,1,2008-07-09,2008,7,9,191,2008.5204918032787
191,Βοιωτία,OIN,20080710,00:00,37,1,2008-07-10,2008,7,10,192,2008.5232240437158
192,Βοιωτία,OIN,20080711,00:00,39,1,2008-07-11,2008,7,11,193,2008.525956284153
193,Βοιωτία,OIN,20080712,00:00,42,1,2008-07-12,2008,7,12,194,2008.52868852459
194,Βοιωτία,OIN,20080713,00:00,29,1,2008-07-13,2008,7,13,195,2008.5314207650274
195,Βοιωτία,OIN,20080714,00:00,33,1,2008-07-14,2008,7,14,196,2008.5341530054645
196,Βοιωτία,OIN,20080715,00:00,57,1,2008-07-15,2008,7,15,197,2008.5368852459017
197,Βοιωτία,OIN,20080716,00:00,58,1,2008-07-16,2008,7,16,198,2008.5396174863388
198,Βοιωτία,OIN,20080717,00:00,40,1,2008-07-17,2008,7,17,199,2008.542349726776
199,Βοιωτία,OIN,20080718,00:00,40,1,2008-07-18,2008,7,18,200,2008.545081967213
200,Βοιωτία,OIN,20080719,00:00,46,1,2008-07-19,2008,7,19,201,2008.5478142076502
201,Βοιωτία,OIN,20080720,00:00,49,1,2008-07-20,2008,7,20,202,2008.5505464480875
202,Βοιωτία,OIN,20080721,00:00,59,1,2008-07-21,2008,7,21,203,2008.5532786885246
203,Βοιωτία,OIN,20080722,00:00,57,1,2008-07-22,2008,7,22,204,2008.5560109289618
204,Βοιωτία,OIN,20080723,00:00,53,1,2008-07-23,2008,7,23,205,2008.558743169399
205,Βοιωτία,OIN,20080724,00:00,33,1,2008-07-24,2008,7,24,206,2008.561475409836
206,Βοιωτία,OIN,20080725,00:00,58,1,2008-07-25,2008,7,25,207,2008.5642076502731
207,Βοιωτία,OIN,20080726,00:00,28,1,2008-07-26,2008,7,26,208,2008.5669398907103
208,Βοιωτία,OIN,20080727,00:00,32,1,2008-07-27,2008,7,27,209,2008.5696721311476
209,Βοιωτία,OIN,20080728,00:00,31,1,2008-07-28,2008,7,28,210,2008.5724043715848
210,Βοιωτία,OIN,20080729,00:00,34,1,2008-07-29,2008,7,29,211,2008.5751366120219
211,Βοιωτία,OIN,20080730,00:00,38,1,2008-07-30,2008,7,30,212,2008.577868852459
212,Βοιωτία,OIN,20080731,00:00,43,1,2008-07-31,2008,7,31,213,2008.5806010928961
213,Βοιωτία,OIN,20080801,00:00,38,1,2008-08-01,2008,8,1,214,2008.5833333333333
214,Βοιωτία,OIN,20080802,00:00,43,1,2008-08-02,2008,8,2,215,2008.5860655737704
215,Βοιωτία,OIN,20080803,00:00,40,1,2008-08-03,2008,8,3,216,2008.5887978142077
216,Βοιωτία,OIN,20080804,00:00,49,1,2008-08-04,2008,8,4,217,2008.5915300546449
217,Βοιωτία,OIN,20080805,00:00,58,1,2008-08-05,2008,8,5,218,2008.594262295082
